Contour,Mode 1,Mode 2,Mode 3,Mode 4,Mode 5,Mode 6,Mode 7,Mode 8
p5478,-33.147,27.1066,4.17556,5.15976,-10.31,-14.6633,18.2599,-6.89334
p5479,-5.88082,49.4654,-96.0884,19.1488,-18.7376,3.54899,-6.13961,-7.58327
p548,32.4192,89.2766,-16.3548,-71.5602,-9.78693,9.85841,36.231,-10.8862
p5480,-9.67713,104.611,-60.8355,83.7908,-36.4001,-45.212,-43.7689,5.12337
p5481,-177.603,21.0507,-1.86278,4.27543,14.3809,-1.95801,12.3689,-2.30747
p5482,13.8318,-18.2383,7.81691,-7.70356,1.80501,-2.50315,-0.200733,-5.43165
p5483,-43.0649,-33.5834,-8.91051,0.964286,5.77021,9.19057,17.0786,-5.72977
p5484,-242.483,-4.07724,7.46469,-4.31289,2.53573,-5.60392,2.0389,-4.29451
p5485,-24.846,-10.2942,16.9127,1.9239,-8.1313,4.88803,4.56986,-0.601332
p5486,50.7481,33.8414,-97.9138,-80.0827,-26.8672,11.954,-43.6261,-5.26397
p5487,84.6012,-30.2883,-2.17753,-1.16141,-4.06506,2.74037,-11.6103,-4.53471
p5488,-79.9765,-16.3134,11.3476,2.35271,2.30146,4.8734,1.82812,3.138
p5489,63.2428,33.2235,16.7199,4.97562,24.9345,4.11904,10.0783,0.080803
p549,176.454,109.465,-14.6481,104.68,-18.8963,-51.335,60.5117,-12.6815
p5490,79.1912,-44.9182,-27.8967,6.33743,-12.9001,27.9814,-14.2335,-6.77198
p5491,-40.3006,-19.2245,5.85242,1.77911,-1.98975,0.833053,-4.54051,2.97308
p5492,132.246,27.2121,38.2767,10.9173,-9.94291,11.0471,16.1694,14.2946
p5493,92.5566,88.4457,-31.8905,-15.3019,-32.4076,-75.0159,-43.3406,-40.9004
p5494,-187.393,-13.9926,4.80475,-7.56988,2.46463,-2.82056,-3.70602,1.145
p5495,-46.7542,54.0919,31.7715,8.94263,4.3594,13.146,-7.72376,-21.5895
p5496,107.675,-35.5027,13.3928,13.1065,-4.72265,0.786257,-0.684023,2.5597
p5497,45.155,-38.0202,2.34234,-3.49671,13.3536,-1.80091,-2.60303,-4.64831
p5498,-19.4127,25.1932,-2.90531,-19.4741,-1.25888,-7.77378,-10.8135,-7.80592
p5499,74.8923,20.2815,25.064,12.9301,-7.08343,-10.4644,6.80002,-5.75131
p55,72.3511,13.0232,34.8607,2.75452,-11.2911,3.17286,0.134704,-9.00473
p550,-33.0804,91.5237,-85.7096,-48.4415,-47.7386,18.6024,53.5617,-19.4604
p5500,-135.082,35.1876,-32.6859,17.3475,6.12984,-44.8307,4.48254,-5.67065
p5501,21.4786,-22.149,-18.7131,-17.9883,-2.55436,-9.54797,-10.9847,-14.1742
p5502,-20.2194,-10.4582,2.36488,-4.08995,-0.435685,2.05887,-13.4048,6.57699
p5503,116.678,-9.06046,-0.305767,0.346117,-4.21706,-4.52044,-11.4629,3.2716
p5504,-60.9315,-9.93549,-14.9142,4.23207,6.89275,-5.62925,4.36605,-7.34541
p5505,37.3058,-26.8264,-6.01378,3.3898,9.38824,-16.4294,-1.40905,-21.5171
p5506,22.9593,-5.23215,14.1542,-3.96897,13.3832,-9.70843,1.76758,1.45279
p5507,-195.393,48.7286,-26.3793,15.6438,-25.383,-24.2795,4.32124,-1.24261
p5508,104.214,-23.6184,-44.2438,-38.1536,11.6082,-12.7403,-31.1784,0.839731
p5509,-118.444,-24.7617,-11.9972,0.141898,7.23955,0.801967,17.0752,-4.13746
p551,8.94027,-0.187258,35.1613,9.89226,2.94182,-3.14957,0.343011,9.96345
p5510,-31.741,110.033,104.03,-2.46835,5.7138,19.6338,-12.8773,-20.8077
p5511,31.3819,-44.6593,-26.3881,0.393915,2.33957,-3.49585,-9.65167,-9.04056
p5512,-73.9441,54.6047,15.1063,7.22046,-4.05864,-20.1364,12.3515,-6.51906
p5513,-60.8021,-32.5154,1.44652,14.9846,5.93485,-1.21834,5.96327,8.06752
p5514,-263.896,-6.30868,-4.76272,-1.7057,4.15001,2.06965,4.56556,-1.55442
p5515,77.4695,-46.315,-10.2349,19.6147,-8.29756,3.76503,-4.4341,4.1261
p5516,-103.909,38.1066,41.0849,8.52578,-20.0537,-3.97313,-3.58064,2.24178
p5517,93.2155,17.8255,12.2915,10.7306,-23.9738,-31.4574,6.27235,-3.60717
p5518,11.4217,-6.56539,3.4939,5.75831,-30.1791,9.37898,4.59975,8.63236
p5519,-29.2267,-23.3928,-2.71201,2.33312,3.61649,-1.4767,2.57006,2.22464
p552,-69.3273,-3.1534,-10.6857,-12.0411,6.55241,12.619,5.22105,2.57093
p5520,15.9451,-0.375104,-25.153,18.4442,-17.9611,15.7828,-16.0003,16.8244
p5521,-65.0911,-0.954322,15.1719,16.7492,-2.29732,-6.55005,3.05945,-9.27212
p5522,24.5864,-3.99615,6.01552,-5.20999,20.2877,5.26171,-1.73132,5.34581
p5523,-87.3714,-2.23043,4.59439,-1.99477,14.9303,4.54702,7.28264,0.866688
p5524,-20.0577,-2.63657,-16.9585,45.4042,-2.8944,-0.54677,47.9409,1.74869
p5525,-130.916,68.8183,-12.2531,22.0392,-15.7829,-43.6524,8.68022,1.70811
p5526,31.8124,-14.8315,12.1007,-0.210813,-24.0095,3.75799,-0.508924,-4.40136
p5527,55.259,-27.7252,7.32564,7.53516,-6.74346,5.42895,-1.65637,-0.0987489
p5528,9.83419,-22.0341,-15.2167,5.29411,-6.13474,12.3801,13.0843,-2.79555
p5529,-165.936,-17.9442,3.07884,-2.18751,1.97138,2.36796,-1.62325,5.29828
p553,38.705,-45.8669,-15.5876,4.55535,3.89326,-0.998299,-7.24965,0.86262
p5530,-10.3555,23.5251,9.13314,28.5187,-7.44066,13.5311,-14.8775,20.0949
p5531,27.396,-31.0707,10.5327,-8.20718,-9.90391,-10.8139,4.67094,-4.33698
p5532,8.79007,-12.6439,-3.6368,3.92344,0.929283,8.01081,-3.20869,9.90592
p5533,-10.8094,22.1554,7.1927,3.07628,3.33888,14.7873,-12.6799,-3.69193
p5534,13.4236,-45.8041,-12.0691,0.402884,6.01428,-9.12956,1.35196,-15.7167
p5535,151.135,13.4877,-9.63009,-95.8634,-7.20661,-12.4031,-72.5722,19.0868
p5536,22.3082,-45.4951,-9.99387,3.08375,1.19169,-1.30662,-2.47396,-9.22941
p5537,21.3435,-28.9263,-14.6048,-3.7762,-1.71629,-5.05103,-8.37583,6.94252
p5538,100.272,-21.9751,14.8984,-1.44777,-17.9255,10.3619,-3.826,1.40099
p5539,-120.018,-27.9119,-2.04393,0.929589,-7.51455,5.27592,2.1282,2.83143
p554,63.6085,-37.0943,-11.6571,-0.916849,-3.21422,2.17972,8.87805,8.68148
p5540,37.1276,-4.71754,2.15695,6.60314,1.59737,9.26014,1.50386,18.0027
p5541,32.5997,-1.69244,12.0716,1.64717,-14.7798,0.104134,1.40707,-8.02164
p5542,-67.5672,16.2914,24.5329,-1.24941,16.177,15.7419,-5.08551,-6.81455
p5543,-98.1314,2.36114,-7.88614,15.4125,25.4019,10.0066,20.1654,4.38332
p5544,5.64077,-4.32557,9.98097,-6.05482,29.6146,-2.73849,-9.57988,6.05248
p5545,37.0774,2.70095,19.9993,-0.144586,-9.0583,13.2206,-0.623129,10.9125
p5546,113.641,22.0066,18.9127,3.13206,4.88781,-43.3086,9.05857,-2.04027
p5547,-48.1739,37.5241,10.6413,7.4438,-3.24655,-25.7209,72.6188,-4.31419
p5548,-43.1096,-35.1451,-13.4558,-15.3274,-2.71133,2.84835,-0.626337,4.46083
p5549,68.2222,5.35778,30.0844,6.24688,0.569994,-11.2755,3.67484,8.40124
p555,67.6233,-12.0827,11.9784,-4.02866,-12.8846,-4.10777,-4.19733,0.314522
p5550,-41.2209,55.0805,-55.9158,43.0437,17.4887,20.1316,31.8907,-24.6531
p5551,1.47807,-40.2758,-16.2702,4.57986,4.70073,-1.28823,-8.24196,-14.839
p5552,24.6107,-37.008,-2.33421,2.28203,-1.2238,-18.6086,15.9901,-5.84993
p5553,-110.693,34.2267,43.323,-6.76212,-10.5028,7.22566,6.69817,1.49118
p5554,93.2386,-30.3564,-7.79167,-8.63308,17.4338,-0.141343,3.6493,-7.58869
p5555,-20.4661,-45.8441,-12.7228,-8.82108,-2.66253,-2.09424,-1.83895,3.02589
p5556,115.142,27.8454,-23.7803,-25.597,-12.543,-8.2331,-35.8172,15.8412
p5557,76.6304,-5.52333,-64.2222,-32.0311,-9.1222,47.2437,-25.1768,4.4031
p5558,0.14192,-32.6176,1.41114,7.20764,-5.77982,-2.02679,10.7371,1.72661
p5559,15.8273,-13.0515,12.9836,9.05644,12.2191,3.31515,-10.668,-1.38481
p556,11.8461,-19.914,6.39962,-11.4865,-17.3724,-0.543338,-1.48087,-13.5073
p5560,81.1646,-45.6377,-5.62472,6.12053,7.70315,-15.317,2.53922,9.53461
p5561,-134.981,99.3162,-74.3713,18.9159,-25.0814,3.48225,4.82981,-12.372
p5562,38.6924,-31.1268,3.92127,-13.1963,-23.861,-4.09264,3.95378,-4.16775
p5563,-24.5307,-37.0522,-12.1098,-9.3876,-3.28166,3.32389,-6.37033,5.69143
p5564,-31.8965,155.659,-3.05455,50.8028,-18.4332,21.1926,-22.2384,-16.3797
p5565,-22.8994,56.6845,-4.9578,-2.41015,29.947,26.9878,1.76927,-2.45769
p5566,37.5491,-9.90949,19.0873,5.82042,6.75254,-7.23044,11.4134,6.83518
p5567,-126.425,-7.28544,6.25777,2.60322,12.6057,6.32106,-0.432801,4.13963
p5568,-20.0952,89.0227,-27.0577,-33.4334,23.9241,4.30839,25.1918,15.9187
p5569,-43.3729,13.3503,-13.7028,-33.2784,-46.5623,-7.24236,-11.2822,-14.4417
p557,58.4471,-48.0695,-9.60974,-1.98062,-3.00448,-4.2037,-3.07226,-3.3375
p5570,-173.315,4.30674,23.4679,-1.94629,-1.42426,-4.81449,-1.32055,-2.07083
p5571,-57.0078,36.7462,-29.6696,3.07504,-37.9936,-13.9456,34.3384,-1.65897
p5572,-103.004,-17.7587,9.18441,-5.80604,3.47011,-1.11835,-10.9183,6.0268
p5573,0.100454,28.7009,38.9752,14.4391,-0.296441,-27.6063,9.28748,-13.7489
p5574,-74.671,-10.8485,-13.4713,-16.5703,2.98734,-9.32246,-1.64249,-9.33458
p5575,115.389,36.0248,54.0273,-6.11632,13.9615,21.5675,-14.7796,-3.44551
p5576,-142.369,33.8053,15.9521,-1.64859,9.18582,-27.7459,6.53063,19.3737
p5577,70.226,5.29227,2.69316,-64.4403,-3.33369,-25.1329,32.6536,-2.78362
p5578,125.697,-31.0193,-57.3542,10.0714,0.0859395,13.5974,6.76319,-7.66746
p5579,129.948,-67.1802,-15.097,4.16419,-2.52738,5.99557,-2.44656,-2.34857
p558,-17.7106,-30.1122,-5.51704,-0.788092,-2.60654,8.08246,-0.588503,6.15248
p5580,50.954,-14.0236,22.1806,-10.9971,2.20659,-0.087244,-9.40077,-7.71864
p5581,4.29221,41.3594,35.0503,-28.7967,4.41938,21.106,4.82388,-17.1837
p5582,97.9183,4.41918,17.5166,-2.03804,12.9311,-0.137833,-5.79317,6.98393
p5583,94.5092,-18.2982,7.98896,7.10023,-7.47623,8.01795,4.95193,7.29246
p5584,23.9885,-34.5399,-3.51142,-1.31658,2.70148,-10.6951,-0.930405,9.62387
p5585,-26.4274,-11.7998,1.41387,13.5888,9.96244,-8.57096,-2.3433,-9.32489
p5586,54.6133,-32.5674,-31.7226,3.13219,-24.4261,5.65401,-9.14707,5.71862
p5587,83.1103,23.3356,-53.0575,5.97545,-18.7958,33.6242,-19.2979,-1.22135
p5588,195.857,-58.7442,-1.71113,5.81779,-0.180023,4.91317,-2.54261,5.34409
p5589,-53.2931,4.02642,6.96381,-14.0041,18.882,14.9898,-3.01159,-7.66701
p559,-90.6361,-27.3271,-3.38914,-3.3691,-4.97411,6.79129,1.131,8.10788
p5590,29.1992,-25.1316,2.82434,-3.2309,-2.9413,5.59991,-1.12792,2.09503
p5591,-143.861,16.0621,-6.16694,8.7347,22.2788,-26.185,2.6955,8.33455
p5592,52.1852,-14.004,11.4137,13.8253,-4.11782,10.479,16.689,2.9729
p5593,88.0731,72.2574,-77.342,-19.9219,-10.6298,47.1251,-8.71702,9.49822
p5594,-8.95673,56.3344,-82.3784,-50.5837,24.1514,-10.0611,-8.18718,12.4184
p5595,58.8703,-46.2031,-6.3141,-13.7929,-13.5165,5.71065,2.96796,-1.35384
p5596,-19.1953,-12.5477,3.81713,0.370798,-7.20992,4.04545,-1.41005,0.695707
p5597,-29.6371,-27.4947,-24.6602,11.9961,21.5747,-9.08132,13.1345,-2.81651
p5598,-83.5535,-26.079,4.86583,-0.936109,5.18573,4.30418,-3.00034,-0.0905401
p5599,-146.343,-15.0651,-7.20697,-5.4462,6.05524,-12.8429,0.106447,14.2379
p56,-48.1459,0.278548,15.6895,9.71736,-5.82899,-1.59354,3.36591,7.46383
p560,-14.1854,-26.7807,-3.1592,-3.94504,6.97918,-4.31545,-4.37533,-1.74017
p5600,-168.996,72.1634,-63.6937,38.653,-8.95648,-27.0162,16.7392,-6.52981
p5601,-47.8129,22.0497,32.2048,-14.5715,-3.3201,-4.60032,4.56746,-3.00237
p5602,41.6174,14.2948,26.9817,-0.626082,1.58535,-19.1259,30.2625,-4.7404
p5603,-18.2988,-27.3339,-35.8111,11.0436,2.1297,-0.282049,6.56126,4.68544
p5604,2.58924,34.4744,7.84816,-7.96211,22.1723,-3.42017,12.3067,-3.61097
p5605,-83.8167,-12.0652,4.35308,-6.49784,28.052,-6.97,-12.0423,2.19855
p5606,-101.35,9.44601,17.0231,-18.3283,-11.7719,-19.0776,-7.69823,-14.4887
p5607,115.324,-35.8923,4.0321,30.5223,8.89253,-4.11443,7.04289,0.968009
p5608,77.6237,-20.9293,-13.5416,-15.1562,-4.1133,-29.0767,-0.514101,-9.35431
p5609,-10.631,-24.905,-8.61871,-4.17843,-5.99044,3.26431,0.476611,-0.672019
p561,26.1377,-36.6526,-13.9973,5.88409,-6.22036,11.7264,6.08586,-1.71878
p5610,-1.82577,-31.415,-19.2769,6.30515,17.6902,-8.89074,-7.67788,-5.1546
p5611,-83.26,149.062,-192.607,84.0357,-15.0675,-48.9895,2.69985,10.4187
p5612,7.10937,50.5054,26.1623,-17.09,8.84566,-9.37868,-19.894,-8.73781
p5613,-24.8028,79.6913,-47.1345,45.1942,-51.0269,3.5974,-21.2482,38.2732
p5614,8.02882,-24.1742,-9.72829,11.2514,-9.81541,10.1277,9.61329,-7.28407
p5615,87.6213,38.1673,-42.4821,-21.3287,-18.191,13.5258,15.7526,18.399
p5616,-20.439,-20.9917,0.295672,-0.698584,4.57366,9.24912,5.18003,-2.69057
p5617,-139.637,29.1079,4.80754,-5.52404,18.4426,10.6388,9.39371,-3.07962
p5618,-6.44515,-24.1924,-10.3247,-0.748737,13.2912,6.44976,-4.49765,3.0787
p5619,42.6875,-42.1643,-27.0352,-3.31963,3.75897,-6.32384,-0.724042,9.21368
p562,-151.27,-24.012,-4.50001,-4.80258,-1.88072,7.41519,4.50869,4.14899
p5620,33.018,103.114,-22.0158,23.6888,18.0991,-6.62855,-1.8101,-4.8365
p5621,-16.2403,-0.168376,0.792138,-4.90619,10.757,14.8735,-2.79357,-6.87932
p5622,29.979,-35.6877,-6.90539,19.8074,8.78689,11.6807,11.8234,-10.7987
p5623,-46.3443,-18.3652,11.584,3.27256,-4.74599,3.74709,1.31166,2.82001
p5624,-54.5645,-10.8753,-5.63364,-12.3784,0.999364,-5.52616,-4.67412,-7.37312
p5625,-74.3213,42.9331,-2.5438,-18.6097,11.0106,-5.81096,3.60833,0.0462564
p5626,-97.4008,28.8234,15.7063,2.66797,-1.23834,5.18245,-3.68421,5.8058
p5627,-63.5357,1.76328,-22.9229,-2.58461,18.525,4.15034,-10.8593,5.13122
p5628,15.5842,42.3054,-24.3532,-17.0344,-6.55692,28.48,-25.1086,8.59301
p5629,23.9938,-7.90626,8.82755,6.9411,1.29849,-2.41016,9.75701,9.66973
p563,57.8745,21.7862,-24.2477,9.13422,37.6408,8.82121,11.3776,-10.1491
p5630,102.616,-3.3414,4.10061,4.22288,-10.9729,37.2499,-19.3234,9.32144
p5631,-74.8556,-21.7183,5.82779,3.18468,-5.21988,-4.32864,-2.82943,2.22866
p5632,-84.8089,-10.0857,12.8836,1.65852,-7.29118,-0.40355,-3.43513,4.25921
p5633,17.5461,50.4871,62.4032,-21.8095,-20.8711,-7.20449,-16.1121,-11.4333
p5634,-8.79395,-12.474,8.49212,-2.1386,-2.562,5.32454,11.0727,-7.63405
p5635,-115.284,-17.9669,2.65007,-7.00055,4.82768,-6.88521,-2.50757,15.2999
p5636,-33.4862,-6.19576,12.4065,3.33992,-11.0903,7.16523,0.0432643,-8.43356
p5637,7.43604,-35.2866,-8.58168,-12.6802,15.9533,-3.26823,-8.12127,-4.19221
p5638,64.612,16.1387,15.1797,-2.16284,-17.8994,-2.97659,13.2866,-7.20497
p5639,150.326,-12.1462,-8.12989,-20.0753,-37.3318,-11.1201,13.0728,-7.50508
p564,41.9834,-35.9164,1.92612,1.37206,-10.875,-0.302013,-6.00308,3.53475
p5640,35.1394,47.7834,54.0869,11.8945,-31.2917,-12.3744,-11.4545,6.08111
p5641,-84.086,-2.96484,-1.42412,1.82398,2.9762,-24.7811,-3.04709,11.9399
p5642,45.1604,-38.0227,6.35676,-3.77436,-5.76545,1.30958,-5.5932,8.44177
p5643,-126.836,55.8932,-93.8443,23.0227,-24.3832,-10.5021,6.40095,-10.5113
p5644,-219.108,-10.6428,-10.4237,-25.8518,4.07573,-12.5913,2.89665,-24.2483
p5645,71.7267,-49.6271,0.488768,9.19294,2.05071,-1.55428,0.505485,0.769645
p5646,100.806,-28.902,3.25225,-15.0838,3.41851,-6.69123,13.891,-7.26108
p5647,27.7013,-26.9679,8.24768,-0.170993,14.5074,-9.08508,5.76222,-1.27271
p5648,209.643,35.9476,49.8542,-16.4923,-70.6057,-17.5432,47.2319,-29.5644
p5649,26.4778,-35.5594,-4.00059,3.0233,5.3298,2.78239,12.4317,-3.50527
p565,-102.55,-29.6508,-5.90692,1.24738,4.34246,4.6057,-10.3622,9.76163
p5650,-59.3584,-25.1334,2.18035,10.1658,4.16392,1.75119,0.790607,7.81249
p5651,77.5593,-36.9862,-2.58529,-4.10749,-8.90618,17.3521,-3.13627,3.95112
p5652,25.7905,126.329,25.2082,12.7458,27.8769,-6.75186,23.0465,0.616144
p5653,63.6857,7.00677,-67.1327,5.27107,8.07529,35.1635,-7.06897,2.37232
p5654,-104.249,-1.26826,-16.9689,28.0295,14.3003,-1.67585,11.4033,-6.64608
p5655,133.539,1.91478,-70.1262,60.9452,-35.1451,-10.4142,-0.750052,-34.4098
p5656,-28.668,-38.0273,-5.5264,7.09725,-0.619942,2.10804,0.486658,3.14064
p5657,49.1976,-4.29658,18.3783,13.4815,39.3517,-1.2516,-5.83334,-17.9834
p5658,3.03837,-32.0726,5.51213,3.23771,0.707169,2.68753,-1.46653,-1.27215
p5659,20.6731,-31.8444,-6.31487,-13.5032,1.11103,-4.86138,-26.1225,-5.82793
p566,27.6562,-14.4111,0.0771474,-15.1732,9.72016,13.3973,-8.13823,-4.86203
p5660,68.8629,-49.8903,-13.8237,4.80003,-10.6829,5.68508,-5.21648,-0.39658
p5661,22.1496,-27.7135,2.91854,-0.210099,-7.10549,-7.06459,4.71699,5.51936
p5662,10.4253,5.94314,-13.1986,-2.00765,-10.5747,-11.5603,-16.6177,-19.4943
p5663,164.083,53.9556,12.2662,-20.0943,-73.9988,40.0041,29.6431,32.7583
p5664,-38.0703,23.3052,6.45257,-4.72543,26.7189,8.2462,-6.40435,-7.78877
p5665,104.755,2.85797,22.3722,2.06789,-11.6358,7.67851,15.4721,-11.433
p5666,-8.8407,-32.3929,-3.06181,5.07462,5.12277,-13.8309,-2.2982,5.42519
p5667,57.5222,-31.3063,-15.9136,-4.62654,-9.83749,1.34588,13.5482,-7.35055
p5668,38.8452,-0.466481,15.5991,-1.60624,6.18883,-2.51829,-2.66596,-10.0662
p5669,-150.608,9.33814,-4.46925,-57.7259,-26.027,4.45639,1.05577,-11.4666
p567,271.848,-38.1532,-18.0913,17.9815,-31.4786,53.1953,2.76475,-38.2582
p5670,-21.6057,14.4261,16.25,39.8654,-36.425,24.9923,27.0174,14.9844
p5671,-34.4642,-5.09048,-28.336,-21.236,-11.0316,19.6913,-7.31644,21.3698
p5672,27.4173,-30.9422,10.4048,2.89881,-2.57837,-10.9902,11.3543,-2.71885
p5673,-50.2871,68.0772,56.9254,-16.9411,3.66311,19.3141,-15.324,-12.2412
p5674,120.658,-48.1508,-5.60689,-9.9915,-3.59598,-20.6128,7.88483,13.4378
p5675,16.2408,-3.02674,5.3733,9.83335,2.98343,1.35991,13.6514,-8.93794
p5676,54.4776,-8.5709,10.4346,9.54074,4.7038,0.885378,3.43882,-0.749125
p5677,34.6697,-27.965,-2.71664,-3.7866,14.4368,-1.95092,-1.10875,-0.721318
p5678,-127.596,123.516,-77.9776,48.8504,-26.3535,32.9274,25.9887,-5.91602
p5679,-90.0695,-4.17338,-1.86692,6.64863,-15.8341,18.4022,-6.18513,-15.2695
p568,84.5611,18.0727,37.4054,15.6332,-10.9222,11.0707,-9.07315,12.5451
p5680,68.0553,20.7068,31.2275,3.83642,-14.1066,11.4137,0.943094,-0.391132
p5681,53.1248,-6.42791,29.2657,13.4962,-6.36456,2.2859,-1.01102,10.96
p5682,112.748,31.5888,38.9832,-9.73494,-2.15493,-11.4696,0.872129,8.7628
p5683,-13.594,-3.04683,-14.1525,-16.3313,7.52109,-2.59023,-6.98153,0.997619
p5684,59.8257,-41.9868,5.27774,-8.66221,13.0379,-20.9851,-10.5838,-5.05942
p5685,85.9076,-30.0122,9.00911,-11.4563,0.483525,10.1847,-17.0241,2.56163
p5686,28.2964,67.334,47.7363,8.26871,16.9287,20.4878,9.56047,10.8381
p5687,-52.991,-23.0014,-6.34861,3.04497,1.46978,-20.2506,2.32916,-14.185
p5688,109.263,-13.0611,3.94793,-9.60727,-21.4115,-19.9718,5.47457,10.6613
p5689,108.276,-44.8653,-4.37954,7.54462,-22.9303,4.95049,4.23756,-10.392
p569,25.3613,-31.0468,5.30449,1.53636,-1.55965,-1.77829,-2.2079,1.09504
p5690,-66.4137,35.2945,-74.0735,-6.47422,-9.36658,33.6692,-9.78954,-18.482
p5691,-15.8394,-32.2915,-9.62968,-13.1335,5.03828,8.77365,-2.43639,-10.3135
p5692,26.2206,-43.3366,-11.1478,-0.903271,-2.44927,-2.41696,-8.92873,-10.5838
p5693,172.178,55.4209,21.5867,-21.4134,10.0856,-52.1327,-50.4764,14.4173
p5694,-33.0462,30.0542,23.4601,-2.968,1.94869,6.23852,1.05306,10.3638
p5695,72.8872,-45.6056,1.56431,0.251216,6.39854,6.69643,-3.15356,0.562345
p5696,-37.7779,-4.17637,3.6649,-5.02067,3.11458,11.8908,-5.96472,10.1601
p5697,-70.2902,-29.0668,-4.20066,9.8651,16.6209,6.38402,-4.09975,-5.76318
p5698,6.63049,107.131,1.19506,40.1445,19.4863,25.9039,14.2344,-29.0688
p5699,-120.123,5.97657,8.82041,-7.26733,15.8352,4.89435,4.85878,3.81362
p57,82.2816,-47.1446,-6.92476,-1.58718,-9.22729,6.04779,-3.39716,6.00195
p570,49.8658,-46.5216,-11.3232,-0.0127538,3.67655,-9.00632,-3.21247,11.9237
p5700,0.0885537,2.31691,-14.8927,-26.4728,3.59255,11.6126,4.26405,-2.76023
p5701,17.2879,-21.1086,4.49882,-10.9565,2.90783,-3.36269,-5.93426,-0.839916
p5702,-2.90979,-38.6952,-21.3992,-10.633,-9.17273,10.7868,-0.465044,8.58423
p5703,10.0129,-45.5817,-5.80546,-3.27605,-2.72487,-3.8743,-10.5597,-5.76099
p5704,108.342,-42.3265,-9.4293,7.91319,1.01615,-0.608005,0.927303,2.54382
p5705,50.3764,30.0732,24.0674,11.0566,25.3497,18.1165,10.7082,-5.55668
p5706,100.589,0.408597,-36.3415,-22.2575,-14.9993,-4.41726,-3.75542,8.31428
p5707,-30.9943,-19.9749,-0.073152,1.25731,1.03135,-0.810618,2.73997,-1.97619
p5708,-46.5401,-28.3557,-5.16919,18.245,1.73847,-7.47116,23.9225,2.71721
p5709,58.0116,-24.0629,15.0662,-1.85127,4.9784,-14.5858,-11.0339,-1.49117
p571,-13.3043,-12.9427,15.2829,12.168,5.96247,8.09789,9.12932,-5.0904
p5710,-23.0863,24.1724,28.6434,-20.065,10.3339,6.71479,4.31292,-11.2628
p5711,-7.36929,33.3147,22.8097,26.9385,0.39044,31.0806,16.2111,-6.65021
p5712,-36.2278,-11.3108,13.3795,2.2925,18.029,-3.68817,-3.90137,-9.52927
p5713,-0.643116,-14.9744,9.46183,-30.1265,5.86671,4.02463,-7.71922,-16.2247
p5714,4.82206,-18.9925,11.6275,-2.68859,-2.59966,-9.99186,-0.612912,2.88548
p5715,-18.1855,-29.1577,-4.4817,2.69377,-8.74962,3.28429,9.2285,7.36087
p5716,89.0777,-8.33969,-7.39164,14.8864,4.88247,-16.009,11.2683,-5.1052
p5717,-64.3751,30.6215,13.8691,10.7661,14.8361,12.4418,0.191201,0.187048
p5718,97.9768,89.3299,-39.3142,2.05201,7.18407,-10.6526,-5.95407,6.83622
p5719,43.5512,-28.0144,-8.14622,-4.84149,28.9232,-1.1979,2.12268,-6.67983
p572,-79.1657,-2.56751,-32.3674,7.6364,-6.25003,2.54962,-6.16008,-2.4156
p5720,61.6787,-35.7027,6.91545,17.0126,-0.550037,4.96999,7.44166,4.56774
p5721,-152.251,23.2515,12.8086,-3.96084,8.58373,11.3553,3.95603,5.41559
p5722,42.5442,-26.3087,1.10949,-17.7644,-31.6399,-7.01642,10.0717,-2.22527
p5723,-137.631,-13.7095,-8.33377,-19.7958,-26.5884,0.878329,-2.9894,-2.98526
p5724,10.0559,24.9304,-36.4282,-29.468,13.8509,-8.88319,-15.604,-23.8173
p5725,-58.1428,14.838,17.469,15.1415,-4.05316,-5.70173,-9.84109,20.1614
p5726,-5.46546,-32.5263,-11.8328,-12.7236,-3.78956,-9.16622,-15.7546,8.22018
p5727,-20.7597,33.4867,19.5577,-31.0968,-22.1267,-2.107,-11.3136,-21.9024
p5728,24.5915,-51.9082,-4.60154,6.12926,1.19994,-1.29628,-3.11355,-1.36687
p5729,-41.2088,-19.1701,2.83142,-3.9151,-3.88189,15.6745,-1.38592,-3.42252
p573,-14.7052,-28.8799,-2.28786,-7.6795,-6.84177,-2.9154,-2.06508,-1.38877
p5730,-104.005,-17.2074,4.29643,8.07503,7.99153,0.116804,7.15509,7.82169
p5731,-47.8127,8.97982,4.32833,5.64214,20.6496,2.8906,9.83789,-9.18075
p5732,-2.49636,-10.0901,-4.78914,6.19128,11.5648,19.8124,7.2913,-12.7903
p5733,55.0515,12.2774,-25.6148,-11.671,16.0722,-12.1349,5.44583,-9.16304
p5734,-6.77955,14.1853,17.013,0.543881,-4.78479,10.3188,-6.97687,-4.47499
p5735,-11.5023,23.2066,49.2624,-20.2605,6.01212,-6.05728,-0.607568,-8.85851
p5736,-84.6362,-22.453,-1.47236,7.84005,17.6895,-15.4273,-0.36628,-0.113284
p5737,-87.5664,15.2653,5.72911,-11.4603,19.9001,8.08622,-5.65836,-3.13159
p5738,60.9076,-15.4535,25.9892,6.48943,-10.7442,7.74723,1.01022,-0.0126395
p5739,23.5651,-26.3562,1.43795,-1.82022,-10.5839,-8.40654,-2.46918,-1.66719
p574,4.63503,-39.3606,-6.24205,-10.4792,-12.4834,-0.696513,-2.47353,1.33302
p5740,-113.649,27.7647,14.8727,-18.3088,26.6739,2.98553,5.98837,-0.738943
